codigo,carpeta,nombre_ideam,latitud,longitud,municipio
21030080,Acevedo,ACEVEDO [21030080],1.813611111,-75.94222222,Acevedo
21115020,Aeropuerto benito salas,AEROPUERTO BENITO SALAS [21115020],2.94875,-75.29305556,Neiva
21105030,Algeciras,ALGECIRAS - AUT [21105030],2.52,-75.319997222,Algeciras
21040020,Antena TV-agrado,ANTENA TV [21040020],2.334027778,-75.72847222,Agrado
21110070,Baraya,BARAYA [21110070],3.150333333,-75.05733333,Baraya
21130060,CarmenSantaMaria,CARMEN EL [21130060],3.007138889,-75.55919444,Palermo
21090020,Cucharo palermo,CUCHARO EL [21090020],2.855555556,-75.39919444,Palermo
21055020,EscuelaAgricola,ESCUELA AGRICOLA LA PLATA [21055020],2.38,-75.89,La Plata
21060080,Garzon,GARZON [21060080],2.190083333,-75.60505556,Garzón
21060070,Gigante,GIGANTE 2 [21060070],2.388916667,-75.53808333,Gigante
21030050,Guadalupe,GUADALUPE [21030050],2.03,-75.78,Altamira
21110180,Hato-bogota,HATO BOGOTA [21110180],3.036027778,-75.15972222,Tello
21060090,hobo,HOBO EL [21060090],2.574805556,-75.43552778,Hobo
21010110,insfopal,INSFOPAL [21010110],1.844916667,-76.07441667,Pitalito
21030090,jagua,JAGUA LA [21030090],2.202944444,-75.67772222,Garzón
21095010,juncal,JUNCAL EL AUT [21095010],2.828805556,-75.33116667,Palermo
21050060,la argentina,LA ARGENTINA - AUT [21050060],2.199055556,-75.97227778,La Argentina
21010040,laguna,LAGUNA LA [21010040],1.961472222,-76.08569444,Pitalito
21145070,legiosa,LEGIOSA LA [21145070],3.311027778,-74.70288889,Colombia
21010060,mediania,MEDIANIA [21010060],2.020833333,-76.17213889,Isnos
21110160,mesa redonda,MESA REDONDA [21110160],3.118472222,-75.19902778,Tello
21050090,nataga,NATAGA - AUT [21050090],2.551444444,-75.8065,Nátaga
21115040,neiva granja,NEIVA GRANJA [21115040],2.95,-75.3,Neiva
21120090,palermo,TOTUMO EL [21120090],2.870333333,-75.49097222,Palermo
21010100,palestina,PALESTINA [21010100],1.724833333,-76.13333333,Palestina
21015030,san agustin,PARQUE ARQUEOLOGICO - AUT [21015030],1.888472222,-76.29497222,San Agustín
21125010,santa maria,SANTA MARIA [21125010],2.935694444,-75.58905556,Santa María
21050290,tesalia,TESALIA 2 [21050290],2.491277778,-75.7285,Tesalia
21110330,villa_vieja,POLONIA [21110330],3.187388889,-75.21841667,Villavieja
21080030,yaguara,YAGUARA [21080030],2.669611111,-75.52886111,Yaguará
