Estacion,M_mm,Duracion_min,T2,T5,T10,T20,T50,T100
Acevedo,66.82,10,113.65,134.03,151.84,172.01,202.86,229.82
Acevedo,66.82,20,71.93,84.82,96.09,108.86,128.39,145.45
Acevedo,66.82,30,55.04,64.91,73.53,83.3,98.24,111.3
Acevedo,66.82,45,42.12,49.67,56.27,63.74,75.18,85.16
Acevedo,66.82,60,34.83,41.08,46.54,52.72,62.17,70.44
Acevedo,66.82,90,26.65,31.43,35.61,40.34,47.58,53.9
Acevedo,66.82,120,22.04,26.0,29.45,33.37,39.35,44.58
Acevedo,66.82,150,19.03,22.44,25.42,28.8,33.96,38.47
Acevedo,66.82,180,16.87,19.89,22.54,25.53,30.11,34.11
Aeropuerto benito salas,91.51,10,147.54,174.0,197.12,223.31,263.35,298.35
Aeropuerto benito salas,91.51,20,93.38,110.12,124.75,141.33,166.67,188.82
Aeropuerto benito salas,91.51,30,71.45,84.26,95.46,108.15,127.54,144.49
Aeropuerto benito salas,91.51,45,54.68,64.48,73.05,82.75,97.59,110.56
Aeropuerto benito salas,91.51,60,45.22,53.33,60.42,68.44,80.72,91.44
Aeropuerto benito salas,91.51,90,34.6,40.81,46.23,52.37,61.76,69.97
Aeropuerto benito salas,91.51,120,28.62,33.75,38.24,43.32,51.08,57.87
Aeropuerto benito salas,91.51,150,24.7,29.13,33.0,37.38,44.09,49.95
Aeropuerto benito salas,91.51,180,21.9,25.83,29.26,33.15,39.09,44.28
Algeciras,71.39,10,120.06,141.59,160.41,181.72,214.31,242.79
Algeciras,71.39,20,75.99,89.61,101.52,115.01,135.63,153.66
Algeciras,71.39,30,58.14,68.57,77.68,88.01,103.79,117.58
Algeciras,71.39,45,44.49,52.47,59.44,67.34,79.42,89.97
Algeciras,71.39,60,36.8,43.4,49.16,55.7,65.68,74.41
Algeciras,71.39,90,28.16,33.21,37.62,42.62,50.26,56.94
Algeciras,71.39,120,23.29,27.47,31.11,35.25,41.57,47.09
Algeciras,71.39,150,20.1,23.7,26.85,30.42,35.88,40.64
Algeciras,71.39,180,17.82,21.02,23.81,26.97,31.81,36.04
Antena TV-agrado,96.67,10,154.41,182.1,206.3,233.71,275.62,312.25
Antena TV-agrado,96.67,20,97.72,115.25,130.56,147.91,174.44,197.62
Antena TV-agrado,96.67,30,74.78,88.19,99.91,113.18,133.48,151.22
Antena TV-agrado,96.67,45,57.22,67.48,76.45,86.61,102.14,115.71
Antena TV-agrado,96.67,60,47.33,55.81,63.23,71.63,84.48,95.7
Antena TV-agrado,96.67,90,36.21,42.71,48.38,54.81,64.64,73.23
Antena TV-agrado,96.67,120,29.95,35.32,40.02,45.33,53.46,60.57
Antena TV-agrado,96.67,150,25.85,30.49,34.54,39.13,46.14,52.27
Antena TV-agrado,96.67,180,22.92,27.03,30.62,34.69,40.91,46.35
Baraya,73.64,10,123.2,145.29,164.59,186.47,219.9,249.12
Baraya,73.64,20,77.97,91.95,104.17,118.01,139.17,157.66
Baraya,73.64,30,59.66,70.36,79.71,90.3,106.49,120.65
Baraya,73.64,45,45.65,53.84,60.99,69.1,81.49,92.32
Baraya,73.64,60,37.76,44.53,50.45,57.15,67.4,76.35
Baraya,73.64,90,28.89,34.07,38.6,43.73,51.57,58.43
Baraya,73.64,120,23.9,28.18,31.93,36.17,42.65,48.32
Baraya,73.64,150,20.62,24.32,27.55,31.22,36.81,41.71
Baraya,73.64,180,18.29,21.56,24.43,27.68,32.64,36.98
CarmenSantaMaria,86.79,10,141.2,166.51,188.64,213.71,252.03,285.52
CarmenSantaMaria,86.79,20,89.36,105.38,119.39,135.25,159.5,180.7
CarmenSantaMaria,86.79,30,68.38,80.64,91.36,103.5,122.05,138.27
CarmenSantaMaria,86.79,45,52.32,61.71,69.91,79.2,93.4,105.81
CarmenSantaMaria,86.79,60,43.28,51.04,57.82,65.5,77.25,87.51
CarmenSantaMaria,86.79,90,33.11,39.05,44.24,50.12,59.11,66.96
CarmenSantaMaria,86.79,120,27.39,32.3,36.59,41.45,48.89,55.38
CarmenSantaMaria,86.79,150,23.64,27.88,31.58,35.78,42.19,47.8
CarmenSantaMaria,86.79,180,20.96,24.72,28.0,31.72,37.41,42.38
Cucharo palermo,95.54,10,152.91,180.33,204.3,231.44,272.95,309.22
Cucharo palermo,95.54,20,96.78,114.13,129.29,146.48,172.74,195.7
Cucharo palermo,95.54,30,74.05,87.33,98.94,112.08,132.18,149.75
Cucharo palermo,95.54,45,56.67,66.83,75.71,85.77,101.15,114.59
Cucharo palermo,95.54,60,46.87,55.27,62.62,70.94,83.66,94.77
Cucharo palermo,95.54,90,35.86,42.29,47.91,54.28,64.01,72.52
Cucharo palermo,95.54,120,29.66,34.98,39.63,44.89,52.94,59.98
Cucharo palermo,95.54,150,25.6,30.19,34.2,38.75,45.69,51.77
Cucharo palermo,95.54,180,22.7,26.77,30.32,34.35,40.51,45.9
EscuelaAgricola,72.88,10,122.14,144.04,163.18,184.87,218.02,246.99
EscuelaAgricola,72.88,20,77.3,91.16,103.27,117.0,137.98,156.31
EscuelaAgricola,72.88,30,59.15,69.76,79.03,89.53,105.58,119.61
EscuelaAgricola,72.88,45,45.26,53.38,60.47,68.51,80.79,91.53
EscuelaAgricola,72.88,60,37.44,44.15,50.01,56.66,66.82,75.7
EscuelaAgricola,72.88,90,28.65,33.78,38.27,43.36,51.13,57.93
EscuelaAgricola,72.88,120,23.69,27.94,31.65,35.86,42.29,47.91
EscuelaAgricola,72.88,150,20.45,24.11,27.32,30.95,36.5,41.35
EscuelaAgricola,72.88,180,18.13,21.38,24.22,27.44,32.36,36.66
Garzon,56.24,10,98.5,116.16,131.6,149.08,175.82,199.18
Garzon,56.24,20,62.34,73.52,83.28,94.35,111.27,126.06
Garzon,56.24,30,47.7,56.25,63.73,72.2,85.15,96.46
Garzon,56.24,45,36.5,43.05,48.77,55.25,65.15,73.81
Garzon,56.24,60,30.19,35.6,40.33,45.69,53.89,61.05
Garzon,56.24,90,23.1,27.24,30.86,34.96,41.23,46.71
Garzon,56.24,120,19.11,22.53,25.53,28.92,34.1,38.64
Garzon,56.24,150,16.49,19.45,22.03,24.96,29.43,33.34
Garzon,56.24,180,14.62,17.24,19.53,22.13,26.1,29.56
Gigante,63.5,10,108.94,128.48,145.55,164.89,194.46,220.3
Gigante,63.5,20,68.95,81.31,92.11,104.36,123.07,139.42
Gigante,63.5,30,52.76,62.22,70.49,79.85,94.17,106.69
Gigante,63.5,45,40.37,47.61,53.94,61.1,72.06,81.64
Gigante,63.5,60,33.39,39.38,44.61,50.54,59.6,67.52
Gigante,63.5,90,25.55,30.13,34.14,38.67,45.61,51.67
Gigante,63.5,120,21.13,24.92,28.23,31.98,37.72,42.73
Gigante,63.5,150,18.24,21.51,24.37,27.6,32.55,36.88
Gigante,63.5,180,16.17,19.07,21.6,24.47,28.86,32.7
Guadalupe,74.98,10,125.05,147.48,167.08,189.28,223.22,252.88
Guadalupe,74.98,20,79.14,93.34,105.74,119.79,141.27,160.04
Guadalupe,74.98,30,60.56,71.42,80.91,91.66,108.1,122.47
Guadalupe,74.98,45,46.34,54.65,61.91,70.14,82.72,93.71
Guadalupe,74.98,60,38.33,45.2,51.21,58.01,68.41,77.51
Guadalupe,74.98,90,29.33,34.59,39.18,44.39,52.35,59.31
Guadalupe,74.98,120,24.26,28.61,32.41,36.71,43.3,49.05
Guadalupe,74.98,150,20.94,24.69,27.97,31.69,37.37,42.33
