Estacion,Anio,MaxAnual,Pct_faltante,Estado
Acevedo,1971,,18.1,DESCARTADO_OMM
Acevedo,1972,43.0,0.0,VALIDO
Acevedo,1973,46.0,0.0,VALIDO
Acevedo,1974,79.0,0.0,VALIDO
Acevedo,1975,96.0,0.3,VALIDO
Acevedo,1976,74.0,0.0,VALIDO
Acevedo,1977,106.0,8.5,VALIDO
Acevedo,1978,70.0,0.0,VALIDO
Acevedo,1979,60.0,0.0,VALIDO
Acevedo,1980,80.0,0.0,VALIDO
Acevedo,1981,80.0,0.0,VALIDO
Acevedo,1982,80.0,0.0,VALIDO
Acevedo,1983,96.0,0.0,VALIDO
Acevedo,1984,52.0,0.5,VALIDO
Acevedo,1985,42.0,0.0,VALIDO
Acevedo,1986,95.0,0.0,VALIDO
Acevedo,1987,75.0,0.0,VALIDO
Acevedo,1988,80.0,0.3,VALIDO
Acevedo,1989,105.0,0.0,VALIDO
Acevedo,1990,60.0,0.0,VALIDO
Acevedo,1991,135.0,0.0,VALIDO
Acevedo,1992,50.0,0.0,VALIDO
Acevedo,1993,49.0,0.0,VALIDO
Acevedo,1994,48.0,0.0,VALIDO
Acevedo,1995,55.0,0.0,VALIDO
Acevedo,1996,45.0,0.5,VALIDO
Acevedo,1997,62.0,0.0,VALIDO
Acevedo,1998,32.0,0.0,VALIDO
Acevedo,1999,,29.9,DESCARTADO_OMM
Acevedo,2000,95.0,0.0,VALIDO
Acevedo,2001,60.0,0.0,VALIDO
Acevedo,2002,72.0,0.0,VALIDO
Acevedo,2003,40.0,0.0,VALIDO
Acevedo,2004,60.0,0.0,VALIDO
Acevedo,2005,110.0,0.0,VALIDO
Acevedo,2006,36.0,0.0,VALIDO
Acevedo,2007,80.0,0.0,VALIDO
Acevedo,2008,80.0,0.0,VALIDO
Acevedo,2009,42.0,0.0,VALIDO
Acevedo,2010,41.0,1.4,VALIDO
Acevedo,2011,49.0,0.0,VALIDO
Acevedo,2012,55.0,8.2,VALIDO
Acevedo,2013,68.0,0.3,VALIDO
Acevedo,2014,40.0,1.6,VALIDO
Acevedo,2015,56.0,0.3,VALIDO
Acevedo,2016,73.0,0.0,VALIDO
Acevedo,2017,75.0,0.0,VALIDO
Acevedo,2018,58.0,8.8,VALIDO
Acevedo,2019,45.0,0.3,VALIDO
Acevedo,2020,94.0,0.0,VALIDO
Acevedo,2021,50.0,0.0,VALIDO
Aeropuerto benito salas,1971,111.3,8.2,VALIDO
Aeropuerto benito salas,1972,76.8,0.0,VALIDO
Aeropuerto benito salas,1973,98.4,0.0,VALIDO
Aeropuerto benito salas,1974,100.9,0.0,VALIDO
Aeropuerto benito salas,1975,84.9,0.0,VALIDO
Aeropuerto benito salas,1976,86.5,0.0,VALIDO
Aeropuerto benito salas,1977,72.3,0.0,VALIDO
Aeropuerto benito salas,1978,90.4,8.2,VALIDO
Aeropuerto benito salas,1979,94.5,0.0,VALIDO
Aeropuerto benito salas,1980,87.1,0.0,VALIDO
Aeropuerto benito salas,1981,76.7,0.0,VALIDO
Aeropuerto benito salas,1982,83.3,0.0,VALIDO
Aeropuerto benito salas,1983,80.8,0.0,VALIDO
Aeropuerto benito salas,1984,116.5,0.0,VALIDO
Aeropuerto benito salas,1985,108.7,0.0,VALIDO
Aeropuerto benito salas,1986,82.8,0.0,VALIDO
Aeropuerto benito salas,1987,89.5,0.0,VALIDO
Aeropuerto benito salas,1988,70.3,8.5,VALIDO
Aeropuerto benito salas,1989,83.9,0.0,VALIDO
Aeropuerto benito salas,1990,142.3,0.0,VALIDO
Aeropuerto benito salas,1991,55.2,0.0,VALIDO
Aeropuerto benito salas,1992,98.3,0.0,VALIDO
Aeropuerto benito salas,1993,107.3,0.0,VALIDO
Aeropuerto benito salas,1994,156.5,0.0,VALIDO
Aeropuerto benito salas,1995,72.5,0.0,VALIDO
Aeropuerto benito salas,1996,99.8,0.0,VALIDO
Aeropuerto benito salas,1997,63.7,0.0,VALIDO
Aeropuerto benito salas,1998,70.7,0.3,VALIDO
Aeropuerto benito salas,1999,130.0,0.0,VALIDO
Aeropuerto benito salas,2000,73.2,0.0,VALIDO
Aeropuerto benito salas,2001,84.0,0.0,VALIDO
Aeropuerto benito salas,2002,96.2,0.0,VALIDO
Aeropuerto benito salas,2003,74.8,0.0,VALIDO
Aeropuerto benito salas,2004,69.3,0.0,VALIDO
Aeropuerto benito salas,2005,86.3,0.0,VALIDO
Aeropuerto benito salas,2006,85.0,0.0,VALIDO
Aeropuerto benito salas,2007,96.0,0.0,VALIDO
Aeropuerto benito salas,2008,89.1,0.0,VALIDO
Aeropuerto benito salas,2009,70.2,0.0,VALIDO
Aeropuerto benito salas,2010,83.0,0.0,VALIDO
Aeropuerto benito salas,2011,81.3,0.0,VALIDO
Aeropuerto benito salas,2012,100.5,0.3,VALIDO
Aeropuerto benito salas,2013,89.7,0.0,VALIDO
Aeropuerto benito salas,2014,78.9,0.0,VALIDO
Aeropuerto benito salas,2015,50.6,0.0,VALIDO
Aeropuerto benito salas,2016,119.8,0.0,VALIDO
Aeropuerto benito salas,2017,143.8,0.0,VALIDO
Aeropuerto benito salas,2018,79.5,0.0,VALIDO
Aeropuerto benito salas,2019,70.5,0.0,VALIDO
Aeropuerto benito salas,2020,126.4,0.3,VALIDO
Aeropuerto benito salas,2021,127.0,0.0,VALIDO
Algeciras,1971,,28.2,DESCARTADO_OMM
Algeciras,1972,51.7,0.0,VALIDO
Algeciras,1973,54.6,0.0,VALIDO
Algeciras,1974,117.9,0.0,VALIDO
Algeciras,1975,63.2,0.0,VALIDO
Algeciras,1976,58.4,8.2,VALIDO
Algeciras,1977,78.1,0.5,VALIDO
Algeciras,1978,90.1,1.9,VALIDO
Algeciras,1979,,12.1,DESCARTADO_OMM
Algeciras,1980,52.5,0.8,VALIDO
Algeciras,1981,56.0,3.6,VALIDO
Algeciras,1982,,12.3,DESCARTADO_OMM
Algeciras,1983,106.6,0.5,VALIDO
Algeciras,1984,64.8,3.8,VALIDO
Algeciras,1985,,12.6,DESCARTADO_OMM
Algeciras,1986,,77.5,DESCARTADO_OMM
Algeciras,1987,70.9,8.8,VALIDO
Algeciras,1988,60.6,0.0,VALIDO
Algeciras,1989,36.5,0.0,VALIDO
