carpeta,codigo,nombre_ideam,M_mm,anos_validos,i_T10_t60,i_T100_t10
Acevedo,21030080,ACEVEDO [21030080],66.82,49,46.54,229.82
Aeropuerto benito salas,21115020,AEROPUERTO BENITO SALAS [21115020],91.51,51,60.42,298.35
Algeciras,21105030,ALGECIRAS - AUT [21105030],71.39,36,49.16,242.79
Antena TV-agrado,21040020,ANTENA TV [21040020],96.67,48,63.23,312.25
Baraya,21110070,BARAYA [21110070],73.64,50,50.45,249.12
CarmenSantaMaria,21130060,CARMEN EL [21130060],86.79,48,57.82,285.52
Cucharo palermo,21090020,CUCHARO EL [21090020],95.54,40,62.62,309.22
EscuelaAgricola,21055020,ESCUELA AGRICOLA LA PLATA [21055020],72.88,46,50.01,246.99
Garzon,21060080,GARZON [21060080],56.24,49,40.33,199.18
Gigante,21060070,GIGANTE 2 [21060070],63.5,50,44.61,220.3
Guadalupe,21030050,GUADALUPE [21030050],74.98,48,51.21,252.88
Hato-bogota,21110180,HATO BOGOTA [21110180],88.61,44,58.82,290.48
hobo,21060090,HOBO EL [21060090],92.02,48,60.69,299.73
insfopal,21010110,INSFOPAL [21010110],54.03,50,39.01,192.66
jagua,21030090,JAGUA LA [21030090],70.54,50,48.68,240.39
juncal,21095010,JUNCAL EL AUT [21095010],88.24,42,58.62,289.47
la argentina,21050060,LA ARGENTINA - AUT [21050060],53.45,49,38.67,190.94
laguna,21010040,LAGUNA LA [21010040],56.78,51,40.65,200.77
legiosa,21145070,LEGIOSA LA [21145070],72.36,41,49.72,245.52
mediania,21010060,MEDIANIA [21010060],60.92,49,43.1,212.84
mesa redonda,21110160,MESA REDONDA [21110160],89.67,46,59.41,293.36
nataga,21050090,NATAGA  - AUT [21050090],83.16,50,55.8,275.57
neiva granja,21115040,NEIVA GRANJA [21115040],71.3,49,49.11,242.53
palermo,21120090,TOTUMO EL [21120090],83.55,46,56.02,276.65
palestina,21010100,PALESTINA [21010100],54.09,47,39.05,192.84
san agustin,21015030,PARQUE ARQUEOLOGICO - AUT [21015030],53.69,49,38.81,191.65
santa maria,21125010,SANTA MARIA [21125010],70.91,33,48.89,241.43
tesalia,21050290,TESALIA 2 [21050290],93.2,47,61.34,302.92
villa_vieja,21110330,POLONIA [21110330],94.94,51,62.29,307.6
yaguara,21080030,YAGUARA [21080030],88.71,43,58.88,290.75
